t_s,R_coupled_cm,U_mean,U_max
1.134600000000000000e+05,1.205281796204560774e+00,1.616387927037484518e-01,2.148745499548923854e-01
1.152600000000000000e+05,1.205023991860789456e+00,1.596991481727153828e-01,2.118743457315837853e-01
1.170600000000000000e+05,1.204765954174216613e+00,1.578346265788828640e-01,2.089964259252033441e-01
1.188600000000000000e+05,1.204508043557485530e+00,1.560409036300613450e-01,2.062334932449006453e-01
1.206600000000000000e+05,1.204250584015233549e+00,1.543139765805146002e-01,2.035788068635673853e-01
1.224600000000000000e+05,1.203993865924966933e+00,1.526501353704619590e-01,2.010261316793494346e-01
1.242600000000000000e+05,1.203738148708066946e+00,1.510459367675659192e-01,1.985696928881190426e-01
1.260600000000000000e+05,1.203483663375503054e+00,1.494981811583108444e-01,1.962041352467246702e-01
1.278600000000000000e+05,1.203230614922828234e+00,1.480038916830921925e-01,1.939244864857870843e-01
1.296600000000000000e+05,1.202979184576387972e+00,1.465602954476456221e-01,1.917261243991277286e-01
1.314600000000000000e+05,1.202729531885646352e+00,1.451648065773243068e-01,1.896047471959081132e-01
1.332600000000000000e+05,1.202481796664440772e+00,1.438150109097681428e-01,1.875563467526331629e-01
1.350600000000000000e+05,1.202236100785569306e+00,1.425086521466693568e-01,1.855771844465421150e-01
1.368600000000000000e+05,1.201992549835310342e+00,1.412436193070675527e-01,1.836637692902977070e-01
1.386600000000000000e+05,1.201751234633163801e+00,1.400179353435728746e-01,1.818128381213936218e-01
1.404600000000000000e+05,1.201512232629639465e+00,1.388297467991514711e-01,1.800213376287906064e-01
1.422600000000000000e+05,1.201275609183541482e+00,1.376773143966404100e-01,1.782864080247015259e-01
1.440600000000000000e+05,1.201041418731596311e+00,1.365590044654019786e-01,1.766053681916028850e-01
1.458600000000000000e+05,1.200809705856797471e+00,1.354732811205243692e-01,1.749757021539814217e-01
1.476600000000000000e+05,1.200580506263007718e+00,1.344186991194643299e-01,1.733950467412738450e-01
1.494600000000000000e+05,1.200353847663511164e+00,1.333938973293904151e-01,1.718611803233862090e-01
1.512600000000000000e+05,1.200129750590130273e+00,1.323975927458096724e-01,1.703720125132595908e-01
1.530600000000000000e+05,1.199908229129645232e+00,1.314285750095057215e-01,1.689255747424539544e-01
1.548600000000000000e+05,1.199689291593486251e+00,1.304857013745038263e-01,1.675200116258822869e-01
1.566600000000000000e+05,1.199472941126342729e+00,1.295678920847810889e-01,1.661535730407684153e-01
1.584600000000000000e+05,1.199259176259029003e+00,1.286741261218652954e-01,1.648246068527909614e-01
1.602600000000000000e+05,1.199047991410298941e+00,1.278034372893911141e-01,1.635315522293989132e-01
1.620600000000000000e+05,1.198839377342243440e+00,1.269549106041437114e-01,1.622729334864501383e-01
1.638600000000000000e+05,1.198633321573187915e+00,1.261276789662053588e-01,1.610473544198366136e-01
1.656600000000000000e+05,1.198429808751827919e+00,1.253209200835606607e-01,1.598534930786222330e-01
1.674600000000000000e+05,1.198228820997144561e+00,1.245338536289160858e-01,1.586900969405882766e-01
1.692600000000000000e+05,1.198030338204231882e+00,1.237657386087724493e-01,1.575559784549081799e-01
1.710600000000000000e+05,1.197834338322871117e+00,1.230158709265477823e-01,1.564500109201528988e-01
1.728600000000000000e+05,1.197640797609350383e+00,1.222835811234130599e-01,1.553711246688773695e-01
1.746600000000000000e+05,1.197449690852797177e+00,1.215682322820651196e-01,1.543183035328118680e-01
1.764600000000000000e+05,1.197260991581103440e+00,1.208692180799081639e-01,1.532905815651177395e-01
1.782600000000000000e+05,1.197074672246183358e+00,1.201859609795059153e-01,1.522870399983896894e-01
1.800600000000000000e+05,1.196890704391295523e+00,1.195179105452060658e-01,1.513068044190560013e-01
1.818600000000000000e+05,1.196709058801801007e+00,1.188645418758603051e-01,1.503490421406067923e-01
