# D_of_C.csv —— 三族附录材料参数扩散系数（fig11(a) 的唯一数据源）
# 公式取自 02-代码/solver_q1.py（附录2）、solver_q23.py（附录3）、solver_q4.py（附录4）
# 附录2 D=7e-9*exp(-0.89/C)（只依赖 C）；附录3 D=2.4e-3*exp(-0.45/C)*exp(-3850/T)；
# 附录4 D=4.2e-4*exp(-0.30/C)*exp(-3850/T)；T 开尔文、C 干基含水率 kg/kg
# T_ref=301.15 K（初温）、T_hot=323.315 K（环境温度上界）；生成：python plot_all.py fig11
C_kg_kg,D_apx2_m2_s,D_apx3_Tref_m2_s,D_apx4_Tref_m2_s,D_apx3_Thot_m2_s,D_apx4_Thot_m2_s
2.26,4.7213975e-09,5.5153632e-09,1.0314235e-09,1.3249669e-08,2.4778096e-09
2.27,4.7295954e-09,5.5202032e-09,1.0320268e-09,1.3261296e-08,2.479259e-09
2.28,4.7377355e-09,5.5250049e-09,1.0326252e-09,1.3272831e-08,2.4806965e-09
2.29,4.7458182e-09,5.5297688e-09,1.0332187e-09,1.3284276e-08,2.4821222e-09
2.3,4.7538443e-09,5.5344953e-09,1.0338074e-09,1.329563e-08,2.4835364e-09
2.31,4.7618144e-09,5.5391849e-09,1.0343913e-09,1.3306896e-08,2.4849392e-09
2.32,4.7697289e-09,5.5438379e-09,1.0349705e-09,1.3318074e-08,2.4863306e-09
2.33,4.7775884e-09,5.5484549e-09,1.035545e-09,1.3329166e-08,2.4877108e-09
2.34,4.7853936e-09,5.5530363e-09,1.036115e-09,1.3340172e-08,2.48908e-09
2.35,4.7931449e-09,5.5575824e-09,1.0366804e-09,1.3351093e-08,2.4904383e-09
2.36,4.8008429e-09,5.5620936e-09,1.0372413e-09,1.336193e-08,2.4917858e-09
2.37,4.8084882e-09,5.5665704e-09,1.0377978e-09,1.3372685e-08,2.4931227e-09
2.38,4.8160812e-09,5.5710131e-09,1.0383499e-09,1.3383358e-08,2.4944491e-09
2.39,4.8236225e-09,5.5754221e-09,1.0388977e-09,1.339395e-08,2.495765e-09
2.4,4.8311127e-09,5.5797978e-09,1.0394412e-09,1.3404462e-08,2.4970707e-09
2.41,4.8385522e-09,5.5841407e-09,1.0399805e-09,1.3414894e-08,2.4983661e-09
2.42,4.8459415e-09,5.5884509e-09,1.0405155e-09,1.3425249e-08,2.4996516e-09
2.43,4.8532812e-09,5.592729e-09,1.0410465e-09,1.3435526e-08,2.5009271e-09
2.44,4.8605716e-09,5.5969753e-09,1.0415734e-09,1.3445727e-08,2.5021928e-09
2.45,4.8678134e-09,5.60119e-09,1.0420962e-09,1.3455852e-08,2.5034489e-09
2.46,4.875007e-09,5.6053737e-09,1.042615e-09,1.3465903e-08,2.5046953e-09
2.47,4.8821528e-09,5.6095265e-09,1.0431299e-09,1.3475879e-08,2.5059322e-09
2.48,4.8892513e-09,5.6136489e-09,1.0436409e-09,1.3485783e-08,2.5071598e-09
2.49,4.896303e-09,5.6177412e-09,1.0441481e-09,1.3495614e-08,2.5083781e-09
2.5,4.9033083e-09,5.6218037e-09,1.0446514e-09,1.3505373e-08,2.5095873e-09
2.51,4.9102678e-09,5.6258367e-09,1.045151e-09,1.3515062e-08,2.5107874e-09
2.52,4.9171817e-09,5.6298405e-09,1.0456468e-09,1.352468e-08,2.5119785e-09
2.53,4.9240506e-09,5.6338156e-09,1.0461389e-09,1.353423e-08,2.5131608e-09
2.54,4.930875e-09,5.6377621e-09,1.0466274e-09,1.354371e-08,2.5143343e-09
2.55,4.9376551e-09,5.6416804e-09,1.0471123e-09,1.3553123e-08,2.5154991e-09
